table|_field|_measurement|_start|_stop|_target|_time|_value
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T12:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T12:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T13:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T13:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T14:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T14:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T15:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T15:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T16:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T16:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T17:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T17:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T18:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T18:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T19:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T19:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T20:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T20:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T21:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T21:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T22:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T22:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T23:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-03T23:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T00:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T00:30:00+00:00|None
