table|_time|_value
0|2023-04-15T23:33:34.478934+00:00|173.38
0|2023-04-15T23:34:04.483335+00:00|174.42
0|2023-04-15T23:34:34.487593+00:00|150.44
0|2023-04-15T23:35:04.490697+00:00|150.8
0|2023-04-15T23:35:34.494193+00:00|174.91
0|2023-04-15T23:36:04.500139+00:00|174.93
0|2023-04-15T23:36:34.502068+00:00|150.76
0|2023-04-15T23:37:04.507330+00:00|152.67
0|2023-04-15T23:37:31.507954+00:00|158.57
0|2023-04-15T23:37:34.509300+00:00|162.46
0|2023-04-15T23:37:45.507634+00:00|172.83
0|2023-04-15T23:38:04.512959+00:00|169.74
0|2023-04-15T23:38:15.506888+00:00|162.81
0|2023-04-15T23:38:25.505946+00:00|174.14
0|2023-04-15T23:38:33.505463+00:00|161.83
0|2023-04-15T23:38:34.517179+00:00|169.39
0|2023-04-15T23:38:46.504967+00:00|172.92
0|2023-04-15T23:38:54.504092+00:00|161.53
0|2023-04-15T23:39:01.505597+00:00|175.35
0|2023-04-15T23:39:04.520460+00:00|166.49
0|2023-04-15T23:39:09.505315+00:00|160.76
0|2023-04-15T23:39:15.503886+00:00|172.92
0|2023-04-15T23:39:24.504656+00:00|162.31
0|2023-04-15T23:39:30.503113+00:00|172.54
0|2023-04-15T23:39:34.524303+00:00|166.26
0|2023-04-15T23:39:39.506082+00:00|160.31
0|2023-04-15T23:39:46.502696+00:00|173.68
0|2023-04-15T23:39:54.502149+00:00|158.51
0|2023-04-15T23:40:00.501913+00:00|169.48
0|2023-04-15T23:40:04.527805+00:00|166.56
0|2023-04-15T23:40:34.532111+00:00|172.13
0|2023-04-15T23:40:37.500186+00:00|159.53
0|2023-04-15T23:40:43.500208+00:00|173.85
0|2023-04-15T23:41:04.535597+00:00|167.47
0|2023-04-15T23:41:34.539172+00:00|168.6
0|2023-04-15T23:42:04.543160+00:00|169.2
0|2023-04-15T23:42:34.547218+00:00|166.79
0|2023-04-15T23:43:00.494833+00:00|161.19
0|2023-04-15T23:43:04.550499+00:00|168.55
0|2023-04-15T23:43:34.554290+00:00|167.08
0|2023-04-15T23:43:48.492815+00:00|171.01
