table|_time|_value
0|2023-04-10T16:00:00+00:00|272.15
0|2023-04-10T16:05:00+00:00|273.97083333333336
0|2023-04-10T16:10:00+00:00|273.389
0|2023-04-10T16:15:00+00:00|274.864880952381
0|2023-04-10T16:20:00+00:00|273.7562019230769
0|2023-04-10T16:25:00+00:00|274.2430476190476
0|2023-04-10T16:30:00+00:00|273.6552857142857
0|2023-04-10T16:35:00+00:00|276.8007692307692
0|2023-04-10T16:40:00+00:00|272.91846153846154
0|2023-04-10T16:45:00+00:00|283.11809523809524
0|2023-04-10T16:50:00+00:00|273.9910000000001
0|2023-04-10T16:55:00+00:00|278.5022051282051
0|2023-04-10T17:00:00+00:00|291.0
0|2023-04-10T17:05:00+00:00|288.0182773109243
0|2023-04-10T17:10:00+00:00|276.3438068181818
0|2023-04-10T17:15:00+00:00|275.99329545454543
0|2023-04-10T17:20:00+00:00|278.79374999999993
0|2023-04-10T17:25:00+00:00|290.1420050125313
0|2023-04-10T17:30:00+00:00|288.5807142857143
0|2023-04-10T17:35:00+00:00|279.4410795454546
0|2023-04-10T17:40:00+00:00|275.677625
0|2023-04-10T17:45:00+00:00|276.93357142857144
0|2023-04-10T17:50:00+00:00|279.00593939393946
0|2023-04-10T17:55:00+00:00|290.0072916666667
0|2023-04-10T18:00:00+00:00|273.42833333333334
0|2023-04-10T18:05:00+00:00|272.9648511904762
0|2023-04-10T18:10:00+00:00|273.3815384615384
0|2023-04-10T18:15:00+00:00|277.80149572649566
0|2023-04-10T18:20:00+00:00|275.7955526315789
0|2023-04-10T18:25:00+00:00|291.0083333333333
0|2023-04-10T18:30:00+00:00|273.6195
0|2023-04-10T18:35:00+00:00|279.7738888888889
0|2023-04-10T18:40:00+00:00|277.2507058823529
0|2023-04-10T18:45:00+00:00|279.27846153846156
0|2023-04-10T18:50:00+00:00|274.376
0|2023-04-10T18:55:00+00:00|276.2633333333333
0|2023-04-10T19:00:00+00:00|272.41200000000003
0|2023-04-10T19:05:00+00:00|276.27166666666665
0|2023-04-10T19:10:00+00:00|275.259
0|2023-04-10T19:15:00+00:00|280.93256302521013
0|2023-04-10T19:20:00+00:00|277.61102941176466
0|2023-04-10T19:25:00+00:00|284.62162500000005
0|2023-04-10T19:30:00+00:00|289.8072222222222
0|2023-04-10T19:35:00+00:00|284.5176315789473
0|2023-04-10T19:40:00+00:00|278.17857142857144
0|2023-04-10T19:45:00+00:00|290.6855844155844
0|2023-04-10T19:50:00+00:00|276.44875
0|2023-04-10T19:55:00+00:00|276.135
0|2023-04-10T20:00:00+00:00|272.2943333333333
0|2023-04-10T20:05:00+00:00|286.54839285714286
0|2023-04-10T20:10:00+00:00|285.31096969696966
0|2023-04-10T20:15:00+00:00|291.0802564102564
0|2023-04-10T20:20:00+00:00|287.99683333333337
0|2023-04-10T20:25:00+00:00|284.1408630952381
0|2023-04-10T20:30:00+00:00|275.996625
0|2023-04-10T20:35:00+00:00|276.5076190476191
0|2023-04-10T20:40:00+00:00|272.9545
0|2023-04-10T20:45:00+00:00|276.00833333333327
