#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,Assembly,Device,Location,Sensor,Signal,_field,_measurement,host,topic
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:35.433363658Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:22.819967357Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:23.873940839Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:56.691409407Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:57.740060135Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:08.513212171Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:09.567008652Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:27.629853722Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:28.629882103Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:42.565086078Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
