Time,Time(ns),Q1,Q2,T1,T2
299,1685184286075881400,0.0,0,31.855,26.731
300,1685184287075907800,0.0,0,31.855,26.731
301,1685184288075981100,0.0,0,31.855,26.796
302,1685184289076814900,0.0,0,31.662,26.764
303,1685184290077119900,0.0,0,31.533,26.989
304,1685184291077506500,0.0,0,31.533,26.925
305,1685184292078329300,0.0,0,31.533,27.021
306,1685184293078501300,0.0,0,31.533,26.925
307,1685184294078508600,0.0,0,31.533,26.925
308,1685184295079462500,0.0,0,31.533,26.989
309,1685184296080164700,0.0,0,31.34,27.021
310,1685184297080689200,0.0,0,31.243,27.021
311,1685184298080855500,0.0,0,31.211,27.021
312,1685184299081155700,0.0,0,31.211,27.021
313,1685184300081196200,0.0,0,31.211,27.021
314,1685184301081829900,0.0,0,31.211,27.021
315,1685184302082361900,0.0,0,31.211,27.021
316,1685184303082870800,0.0,0,31.114,27.021
317,1685184304082965200,0.0,0,31.018,27.021
318,1685184305083425300,0.0,0,30.889,27.021
319,1685184306083556900,0.0,0,30.889,27.021
320,1685184307083934100,0.0,0,30.889,27.021
321,1685184308084656300,0.0,0,30.889,27.021
322,1685184309084990800,0.0,0,30.889,27.021
323,1685184310085220100,0.0,0,30.824,27.021
324,1685184311085924000,0.0,0,30.663,27.021
325,1685184312086733300,0.0,0,30.566,27.021
326,1685184313087609500,0.0,0,30.566,27.021
327,1685184314088365900,0.0,0,30.566,27.021
328,1685184315089052100,0.0,0,30.566,27.021
329,1685184316089657700,0.0,0,30.566,27.021
330,1685184317090001600,0.0,0,30.566,27.021
331,1685184318090672700,0.0,0,30.438,27.021
332,1685184319091404800,0.0,0,30.244,27.021
333,1685184320091811800,0.0,0,30.244,27.021
334,1685184321091895900,0.0,0,30.244,27.021
335,1685184322092893300,0.0,0,30.244,27.021
336,1685184323093760900,0.0,0,30.244,27.021
337,1685184324093776700,95.09199368002947,0,30.244,27.021
338,1685184325094303100,95.09199368002947,0,30.18,27.021
339,1685184326094627400,95.09199368002947,0,30.051,27.021
340,1685184327095114900,95.09199368002947,0,29.986,27.021
341,1685184328095890500,95.09199368002947,0,29.922,27.021
342,1685184329096043200,95.09199368002947,0,29.954,27.021
343,1685184330096791800,95.09199368002947,0,29.986,27.021
344,1685184331097256300,95.09199368002947,0,30.115,27.021
345,1685184332097877500,95.09199368002947,0,30.244,27.021
346,1685184333097947500,95.09199368002947,0,30.244,27.021
347,1685184334098424500,95.09199368002947,0,30.276,27.021
348,1685184335099300900,95.09199368002947,0,30.534,27.021
349,1685184336100049600,95.09199368002947,0,30.566,27.021
350,1685184337100977700,95.09199368002947,0,30.889,27.021
351,1685184338101896100,0.0,0,30.889,27.021
352,1685184339102491200,0.0,0,31.211,27.021
353,1685184340103256000,0.0,0,31.211,27.021
354,1685184341103818000,0.0,0,31.533,27.021
355,1685184342103863300,0.0,0,31.855,27.021
356,1685184343104289000,0.0,0,31.855,27.021
357,1685184344104325700,0.0,0,32.178,27.021
358,1685184345104985100,0.0,0,32.5,27.021
359,1685184346105276200,0.0,0,32.5,27.021
360,1685184347105602500,0.0,0,32.532,27.021
361,1685184348106339800,0.0,0,32.822,27.021
362,1685184349106994500,0.0,0,32.822,27.021
363,1685184350107529000,0.0,0,33.08,27.021
364,1685184351107744300,0.0,0,33.145,27.021
365,1685184352108491700,0.0,0,33.145,27.021
366,1685184353109164300,0.0,0,33.273,27.021
367,1685184354109686700,0.0,0,33.435,27.021
368,1685184355110445600,0.0,0,33.467,27.021
369,1685184356110809200,0.0,0,33.467,27.021
370,1685184357111145300,0.0,0,33.467,27.054
371,1685184358111546600,0.0,0,33.467,27.118
372,1685184359111702500,0.0,0,33.467,27.312
373,1685184360112114300,0.0,0,33.499,27.279
374,1685184361112863000,0.0,0,33.467,27.344
375,1685184362113818200,0.0,0,33.499,27.344
376,1685184363114531400,0.0,0,33.467,27.344
377,1685184364115001300,0.0,0,33.467,27.344
378,1685184365115578200,0.0,0,33.467,27.344
379,1685184366115998100,0.0,0,33.467,27.344
380,1685184367116082000,0.0,0,33.467,27.344
381,1685184368116694200,0.0,0,33.467,27.344
382,1685184369117051700,0.0,0,33.467,27.344
383,1685184370117201700,0.0,0,33.467,27.344
384,1685184371117363100,0.0,0,33.467,27.344
385,1685184372117392100,0.0,0,33.467,27.344
386,1685184373117603700,0.0,0,33.467,27.344
387,1685184374118131600,0.0,0,33.467,27.344
388,1685184375118787600,0.0,0,33.467,27.344
389,1685184376119141900,0.0,0,33.273,27.344
390,1685184377119668900,0.0,0,33.145,27.344
391,1685184378119877100,22.14987232289497,0,33.145,27.44
392,1685184379120625300,22.14987232289497,0,33.145,27.473
393,1685184380120905100,22.14987232289497,0,33.145,27.473
394,1685184381121846200,22.14987232289497,0,33.145,27.505
395,1685184382121860600,22.14987232289497,0,33.145,27.634
396,1685184383122668800,22.14987232289497,0,33.08,27.666
397,1685184384123243800,22.14987232289497,0,33.048,27.634
398,1685184385123310300,22.14987232289497,0,32.887,27.634
399,1685184386124026100,22.14987232289497,0,32.822,27.666
400,1685184387124430900,22.14987232289497,0,32.822,27.666
401,1685184388124777100,22.14987232289497,0,32.822,27.666
402,1685184389124789900,22.14987232289497,0,32.822,27.666
403,1685184390125139000,22.14987232289497,0,32.822,27.666
404,1685184391125201600,22.14987232289497,0,32.822,27.666
405,1685184392125694600,22.14987232289497,0,32.822,27.666
406,1685184393126414500,22.14987232289497,0,32.822,27.666
407,1685184394126625600,22.14987232289497,0,32.822,27.666
408,1685184395127088600,22.14987232289497,0,32.822,27.666
409,1685184396127141100,22.14987232289497,0,32.822,27.666
410,1685184397127429100,22.14987232289497,0,32.822,27.666
411,1685184398127684400,22.14987232289497,0,32.822,27.666
412,1685184399128251200,22.14987232289497,0,32.822,27.666
413,1685184400128587100,22.14987232289497,0,32.822,27.666
414,1685184401129358800,22.14987232289497,0,32.887,27.666
415,1685184402129677800,22.14987232289497,0,33.08,27.666
416,1685184403130207300,22.14987232289497,0,33.112,27.666
417,1685184404130880400,22.14987232289497,0,33.112,27.666
418,1685184405131549000,22.14987232289497,0,33.145,27.666
419,1685184406131704700,22.14987232289497,0,33.145,27.698
420,1685184407132506100,22.14987232289497,0,33.145,27.666
421,1685184408132952700,22.14987232289497,0,33.145,27.666
422,1685184409133481900,22.14987232289497,0,33.145,27.666
423,1685184410134218600,22.14987232289497,0,33.145,27.666
424,1685184411134355500,22.14987232289497,0,33.145,27.698
425,1685184412134616200,22.14987232289497,0,33.273,27.666
426,1685184413135243400,22.14987232289497,0,33.37,27.698
427,1685184414135671400,22.14987232289497,0,33.467,27.763
428,1685184415136163600,22.14987232289497,0,33.467,27.73
429,1685184416136588300,22.14987232289497,0,33.467,27.763
430,1685184417136749300,22.14987232289497,0,33.467,27.827
431,1685184418137040400,22.14987232289497,0,33.467,27.859
432,1685184419137616400,22.14987232289497,0,33.467,27.924
433,1685184420138126100,22.14987232289497,0,33.467,27.956
434,1685184421138142300,22.14987232289497,0,33.499,27.988
435,1685184422138238100,22.14987232289497,0,33.757,27.956
436,1685184423138730100,22.14987232289497,0,33.789,27.988
437,1685184424138868500,0.0,0,33.789,27.988
438,1685184425139403600,0.0,0,33.789,27.988
439,1685184426139691400,0.0,0,33.789,27.988
440,1685184427140038000,0.0,0,33.789,27.988
441,1685184428140530200,0.0,0,33.789,27.988
442,1685184429141197900,0.0,0,33.789,27.988
443,1685184430141607700,0.0,0,33.789,27.988
444,1685184431141749400,0.0,0,33.821,27.988
445,1685184432141905600,0.0,0,33.821,27.988
446,1685184433142280900,0.0,0,33.789,27.988
447,1685184434143053400,0.0,0,33.854,27.988
448,1685184435144011600,0.0,0,33.821,27.988
449,1685184436144545500,0.0,0,33.789,27.988
450,1685184437145520300,0.0,0,33.789,27.988
451,1685184438146264100,0.0,0,33.789,27.988
452,1685184439146664500,0.0,0,33.789,27.988
453,1685184440146720400,0.0,0,33.789,27.988
454,1685184441147401100,0.0,0,33.789,27.988
455,1685184442147609400,0.0,0,33.789,27.988
456,1685184443147761100,0.0,0,33.789,27.988
457,1685184444148341500,0.0,0,33.789,27.988
458,1685184445148491600,0.0,0,33.789,27.988
459,1685184446149300800,0.0,0,33.725,28.021
460,1685184447149415700,0.0,0,33.628,27.988
461,1685184448150150000,0.0,0,33.467,27.988
462,1685184449150748300,0.0,0,33.467,28.053
463,1685184450150842300,0.0,0,33.467,28.117
464,1685184451151235800,0.0,0,33.467,28.214
465,1685184452151812900,0.0,0,33.467,28.246
466,1685184453152508000,0.0,0,33.467,28.214
467,1685184454152928500,0.0,0,33.338,28.149
468,1685184455153530200,0.0,0,33.177,28.214
469,1685184456153687500,0.0,0,33.145,28.278
470,1685184457154554800,0.0,0,33.145,28.278
471,1685184458155182300,0.0,0,33.145,28.278
472,1685184459155556800,0.0,0,33.145,28.311
473,1685184460155910500,0.0,0,33.08,28.214
474,1685184461156006800,0.0,0,32.887,28.182
475,1685184462156351000,0.0,0,32.822,28.278
476,1685184463156563300,0.0,0,32.822,28.278
477,1685184464157341300,0.0,0,32.822,28.311
478,1685184465157946000,0.0,0,32.822,28.278
